Strategy,Event Date,Auction Series,Series,Entry Date,Exit Date,Entry Close,Exit Close,Return (%),Basket Avg Return (%),Rate (%),Forecast (%),Previous (%)
A_Auctions,2026-01-28,26254,26240,2026-01-26,2026-02-04,61.936,62.259,0.5215060707827401,0.4190242504533999,,,
A_Auctions,2026-01-28,26254,26244,2026-01-26,2026-02-04,85.174,85.327,0.17963228215183147,0.4190242504533999,,,
A_Auctions,2026-01-28,26254,26245,2026-01-26,2026-02-04,87.349,87.52,0.19576640831606706,0.4190242504533999,,,
A_Auctions,2026-01-28,26254,26249,2026-01-26,2026-02-04,85.897,86.07,0.20140400712480577,0.4190242504533999,,,
A_Auctions,2026-02-04,26251,26230,2026-02-02,2026-02-11,62.306,62.239,-0.10753378486823006,-0.18978046015017958,,,
A_Auctions,2026-02-04,26251,26238,2026-02-02,2026-02-11,58.455,58.494,0.06671798819604113,-0.18978046015017958,,,
A_Auctions,2026-02-04,26251,26240,2026-02-02,2026-02-11,62.01,62.058,0.07740686985970857,-0.18978046015017958,,,
A_Auctions,2026-02-04,26251,26244,2026-02-02,2026-02-11,85.45,85.158,-0.3417203042715089,-0.18978046015017958,,,
A_Auctions,2026-02-04,26251,26245,2026-02-02,2026-02-11,87.397,87.096,-0.34440541437349426,-0.18978046015017958,,,
A_Auctions,2026-02-04,26251,26249,2026-02-02,2026-02-11,86.068,85.647,-0.48914811544359393,-0.18978046015017958,,,
A_Auctions,2026-02-04,26253,26230,2026-02-02,2026-02-11,62.306,62.239,-0.10753378486823006,-0.18978046015017958,,,
A_Auctions,2026-02-04,26253,26238,2026-02-02,2026-02-11,58.455,58.494,0.06671798819604113,-0.18978046015017958,,,
A_Auctions,2026-02-04,26253,26240,2026-02-02,2026-02-11,62.01,62.058,0.07740686985970857,-0.18978046015017958,,,
A_Auctions,2026-02-04,26253,26244,2026-02-02,2026-02-11,85.45,85.158,-0.3417203042715089,-0.18978046015017958,,,
A_Auctions,2026-02-04,26253,26245,2026-02-02,2026-02-11,87.397,87.096,-0.34440541437349426,-0.18978046015017958,,,
A_Auctions,2026-02-04,26253,26249,2026-02-02,2026-02-11,86.068,85.647,-0.48914811544359393,-0.18978046015017958,,,
A_Auctions,2026-02-11,26250,26230,2026-02-09,2026-02-18,61.759,64.36,4.211531922472833,2.9700450904373046,,,
A_Auctions,2026-02-11,26250,26238,2026-02-09,2026-02-18,58.06,60.319,3.8908026179814037,2.9700450904373046,,,
A_Auctions,2026-02-11,26250,26240,2026-02-09,2026-02-18,62.001,63.251,2.016096514572352,2.9700450904373046,,,
A_Auctions,2026-02-11,26250,26244,2026-02-09,2026-02-18,84.71,86.983,2.683272340927889,2.9700450904373046,,,
A_Auctions,2026-02-11,26250,26245,2026-02-09,2026-02-18,86.693,89.05,2.718789290946222,2.9700450904373046,,,
A_Auctions,2026-02-11,26250,26249,2026-02-09,2026-02-18,85.53,87.497,2.2997778557231285,2.9700450904373046,,,
A_Auctions,2026-02-11,26249,26230,2026-02-09,2026-02-18,61.759,64.36,4.211531922472833,2.9700450904373046,,,
A_Auctions,2026-02-11,26249,26238,2026-02-09,2026-02-18,58.06,60.319,3.8908026179814037,2.9700450904373046,,,
A_Auctions,2026-02-11,26249,26240,2026-02-09,2026-02-18,62.001,63.251,2.016096514572352,2.9700450904373046,,,
